"City","State","RANK","Population","X2","X3","X4","X5","X6","X7"
"83","Madison city","Wisconsin",83,233209,233059,233515,236923,239932,243212,245691
"84","Norfolk city","Virginia",84,242803,242831,242943,243723,246150,245480,245428
"85","Lubbock city","Texas",85,229573,229399,230581,233586,236256,240056,243839
"86","Gilbert town","Arizona",86,208453,208399,209643,214057,222057,230615,239277
"87","Winston-Salem city","North Carolina",87,229617,229634,230051,231873,234330,236629,239269
"88","Glendale city","Arizona",88,226721,226437,226427,228645,232114,235144,237517
"89","Reno city","Nevada",89,225221,226012,226402,228292,230634,233282,236995
"90","Hialeah city","Florida",90,224669,224667,225596,231352,233601,235392,235563
"91","Garland city","Texas",91,226876,226871,227329,230205,233831,234845,235501
"92","Chesapeake city","Virginia",92,222209,222209,223517,225333,228188,230431,233371
"93","Irving city","Texas",93,216290,216287,216866,220012,225748,229087,232406
"94","North Las Vegas city","Nevada",94,216961,216700,216945,218971,223065,226918,230788
"95","Scottsdale city","Arizona",95,217385,217434,217550,219841,223358,226355,230512
"96","Baton Rouge city","Louisiana",96,229493,229447,229574,228939,229981,229396,228895
"97","Fremont city","California",97,214089,214079,214652,217630,221798,225342,228758
"98","Richmond city","Virginia",98,204214,204246,204256,206977,211526,214704,217853
"99","Boise City city","Idaho",99,205671,206105,206333,209280,212244,214234,216282
"100","San Bernardino city","California",100,209924,209961,210231,212061,213387,214376,215213
